id;nome; volume ; em_destaque ;imagem_url;produto_url
91801; PISTACHE MINI PREMIUM; 150 ML; TRUE; https://paviloche.com.br/wp-content/uploads/2025/08/Pistache_site.webp; https://paviloche.com.br/produtos/mini-premium-pistache/
91803; DOCE DE LEITE MINI PREMIUM;150 ML; TRUE;https://paviloche.com.br/wp-content/uploads/2025/08/decsv.webp;https://paviloche.com.br/produtos/minipremium-doce-de-leite/
91802; IOGURTE COM AMARENA MINI PREMIUM; TRUE; https://paviloche.com.br/wp-content/uploads/2025/08/xcvxz1_iogurte.webp;https://paviloche.com.br/produtos/minipremium-iogurte-com-amarena/
91800; PROFITEROLES MINI PREMIUM;TRUE;https://paviloche.com.br/wp-content/uploads/2025/08/Profiteroles_diagonal_sem_fundo.webp;https://paviloche.com.br/produtos/mini-premium-profiteroles/
91716;BANANA CARAMELIZADA EDIÇÃO LTDA ; 1 L ; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_ed.png.webp;https://paviloche.com.br/produtos/banana-caramelizada/
91718; PASSAS AO RUM EDIÇÃO LTDA ; 1 L ; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_ed-1.png.webp;https://paviloche.com.br/produtos/passas-ao-rum-2/
91715;COCO EDIÇÃO LTDA ; 1 L ; TRUE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_ed.limitada_coco-1.png.webp;https://paviloche.com.br/produtos/coco/
91719;PAPAIA COM CASSIS EDIÇÃO LTDA ; 1 L ; TRUE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2025/04/Paviloche_ed.limitada_papaia_com_cassis.png.webp;https://paviloche.com.br/produtos/papaia-com-cassis/
04210;ABACAXI FRANCES GELATO  ;1,5 L; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_Gelato_abacaxi_frances.png.webp;https://paviloche.com.br/produtos/abacaxi-frances/
04208; IOGURTE GREGO GELATO    ;1,5 L; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_Gelato_iogurte_grego.png.webp;https://paviloche.com.br/produtos/iogurte-grego/
04209; CHANTILLY TRUFADO GELATO;1,5 L; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_Gelato_chantilly_trufado.png.webp;https://paviloche.com.br/produtos/chantilly-trufado/
04206; MENTA CHIPS GELATO ;1,5 L; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2023/12/Paviloche_Gelato_menta_chips.png.webp;https://paviloche.com.br/produtos/menta-chips-2/
04207; CHOCONUT GELATO;1,5 L; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2023/12/Paviloche_Gelato_choconut-1.png.webp;https://paviloche.com.br/produtos/5128-2/
91710;DOCE DE LEITE PREMIUM    ; 1 L ; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Paviloche_Premium_doce_de_leite.png.webp;https://paviloche.com.br/produtos/doce-de-leite-3/
