id;nome;rua;bairro ;cidade;cep;estado
17518;DAS KAFFEEHAUS;RUA URUSSANGA, 293;BUCAREIN;JOINVILLE;89202400;SC
17519;FLORIPA BAR *;AVENIDA PEDRO ZAPELINE, 1120;CENTRO;TUBARAO;88701481;SC
17535;VALLE BEBIDAS DISTRI;RUA ANTONIO STOCHERO, 245;TRANQUEIRA;ALMIRANTE TAMANDARE;83514070;PR
17542;INOVE;RUA MERCEDES SEILER ROCHA, 327;BACACHERI;CURITIBA;82520740;PR
17558;ANDRA MARA DOCERIA;MANUEL LEOPOLDO ROCHA, 495;SAO DOMINGOS;NAVEGANTES;88370564;SC
17560;FIORELLO CAFE FIT;RUA EXPEDICIONARIO HOLZ, 167;ATIRADORES;JOINVILLE;89203085;SC
17561;PONTO DE VENDAS MASS;R DOS ATIRADORES, 562;CENTRO;POMERODE;89107000;SC
17566;CORPO CULTO SUPLEMEN;RUA HAROLDO HAMILTON, 578;CENTRO;TOLEDO;85905390;PR
17567;SABORES DA OMA;RUA PROF JOAO DOETZER, 289;JARDIM DAS AMERICAS;CURITIBA;81540190;PR
17572;SUMMER ICE;AVENIDA MINISTRO CIRNE LIMA, 4022;TOCANTINS;TOLEDO;85904460;PR
17574;JFC ENTREGAS ME;R CALIFORNIA, 230;JARDIM LOS ANGELES;MARINGA;87080410;PR
17578;TABACARIA IMPERIO;AV MARIPA, 3703;VILA BRASIL;TOLEDO;85909220;PR
17580;POINT CONVENIENCIA;RUA CARLOS CAVALCANTE, 420;CENTRO;UNIAO DA VITORIA;84600130;PR
17596;GROW CONVENIENCIA;10AV SENADOR GALOTTI, 104;MAR GROSSO;LAGUNA;88790000;SC
17617;DISTRIBUIDORA E CONV;AV BENTO MUNHOZ DA ROCHA NETO, 6188;JARDIM SAMAMBAIA;PARANAGUA;83215270;PR
17631;MANO S CONVENIENCIA;RUA VICTOR MOLIN, 207;CENTRO;PICARRAS;88380000;SC
17638;DS CLEAN;RUA ETIOPIA, 564;CAJURU;CURITIBA;82960080;PR
17652;PARADA ZE COMEIA;RODOVIA 418 KM 14, 14;PIRABEIRABA;JOINVILLE;89239400;SC
17654;MY COOKIES;RUA TEIXEIRA COELHO, 290;BATEL;CURITIBA;80410150;PR
17655;DISTRIBUIDORA FOGACA;AV SENADOR SALGADO FILHO, 3761;UBERABA;CURITIBA;81570001;PR
17659;GK DISTRIBUIDORA DE;RUA HENRIQUE MEHL, 530;UBERABA;CURITIBA;81560140;PR
17677;FOOD TRUCK REI DOS P;ROD SC108, 2886;VILA NOVA;JOINVILLE;89237680;SC
17698;EMUVI CAFE;ROD SC 355, 0;PORTAL DAS VIDEIRAS (JUNTO HAV;VIDEIRA;89562260;SC
17700;MAIS UMA CONVENIENC-;RUA ALCINO DOS NAVEGANTES MOREIRA, 982;BARRA DO ARIRIU;PALHOCA;88134100;SC
17708;BEBIDAS PRAINHA;RUA SAO LUIZ, 28;ENSEADA;SAO FRANCISCO DO SUL;89240000;SC
17709;DISK MAIS UMA;RUA HOMERO DE MIRANDA GOMES SALA 01, 829;FUNDOS;BIGUACU;88161470;SC
17715;DISTRIB AMOR A ILHA-;SERVIDAO MANOEL PACIFICO DA SILVA, 348;INGLESES DO RIO VERMELHO;FLORIANOPOLIS;88058072;SC
17729;TRAPICHE;ALD PRINCESA IZABEL, 1710;BIGORRILHO;CURITIBA;80730080;PR
